"skillKind","skillID","skillName","owner","attribute","effect","targetType","isAttack","recastMax","recastMin","maxLevel","skillLvUp2","skillLvUp3","skillLvUp4","skillLvUp5","skillLvUp6","skillLvUp7","skillLvUp8","buffs","debuffs","specialEffects","numHits","skillMod","hpMod","defMod","spdMod","enemyHPMod","enemySPDMod"
"1","1","Fire Attack","Lounge Wear Iroha","fire","Attack an enemy, with a 30% chance to inflict ATK down for 2 turns.","Single","TRUE","0","0","8","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","ATK down","","1","3.5","0","0","0","0","0"
"1","2","Ice Attack","Lounge Wear Kaori","water","Attack an enemy, with a 30% chance to inflict cut for 1 turn.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","cut","","1","3.5","0","0","0","0","0"
"1","3","Dark","Lounge Wear Seira","dark","Attack an enemy, with a 30% chance to inflict miss rate boost for 1 turn.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.6","0","0","0","0","0"
"1","4","Light Attack","Lounge Wear Cocoa","light","Attack an enemy, with a 15% chance to inflict stun for 1 turn.","Single","TRUE","0","0","7","Debuff Activation +5%","Debuff Activation +5%","DMG +10%","DMG +10%","DMG +15%","Debuff Activation +15%","","","stun","","1","3.3","0","0","0","0","0"
"1","5","Dark","Lounge Wear Akisa","dark","Attack an enemy, with a 25% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","Debuff Activation +5%","Debuff Activation +5%","Debuff Activation +5%","DMG +10%","DMG +10%","DMG +15%","","","DEF down","","1","3.4","0","0","0","0","0"
"1","6","Ice Attack","Lounge Wear Ao","water","Attack an enemy, with a 25% chance to inflict DEF down for 1 turn.","Single","TRUE","0","0","7","Debuff Activation +5%","Debuff Activation +5%","Debuff Activation +5%","DMG +10%","DMG +10%","DMG +15%","","","DEF down","","1","3.4","0","0","0","0","0"
"1","7","Fire","Lounge Wear Aka","fire","Attack an enemy, with a 30% chance to inflict sleep for 1 turn.","Single","TRUE","0","0","6","Debuff Activation +5%","Debuff Activation +5%","DMG +10%","DMG +10%","DMG +15%","","","","sleep","","1","3","0","0","0","0","0"
"1","8","Lightning","Lounge Wear Eliza","lightning","Attack an enemy, with a 30% chance to inflict ATK down for 2 turns.","Single","TRUE","0","0","8","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","ATK down","","1","3.5","0","0","0","0","0"
"1","9","Fire Attack","Lounge Wear Lilly","fire","Attack an enemy, with a 30% chance to inflict SPD down for 1 turn.","Single","TRUE","0","0","8","DMG +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","","SPD down","","1","3.3","0","0","0","0","0"
"1","10","Dark Attack","Lounge Wear Hanabi","dark","Attack an enemy, with a 30% chance to inflict 10% move gauge down.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","move gauge down","","1","3.6","0","0","0","0","0"
"1","11","Light Attack","Lounge Wear Marianne","light","Attack an enemy, with a 30% chance to inflict miss rate boost for 1 turn.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.6","0","0","0","0","0"
"1","12","Lightning Attack","Lounge Wear Iko","lightning","Attack an enemy, with a 15% chance to inflict stun for 1 turn.","Single","TRUE","0","0","7","Debuff Activation +5%","Debuff Activation +5%","DMG +10%","DMG +10%","DMG +15%","Debuff Activation +15%","","","stun","","1","3.3","0","0","0","0","0"
"1","13","Magic Mist","Sports Uniform Iroha","fire","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","14","Flare Attack","Sports Uniform Iroha","fire","Attack an enemy and inflict ATK down for 2 turns.","Single","TRUE","2","3","6","DMG +5%","DMG +5%","DMG +10%","DMG +10%","Recast Turns -1","","","","ATK down","","1","5.3","0","0","0","0","0"
"1","15","Magic Mist","Sports Uniform Kaori","water","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","16","Ice Heal","Sports Uniform Kaori","water","Restore 20% HP to all allies and grant DEF up for 2 turns","All","FALSE","3","5","6","Heal Amount +10%","Heal Amount +10%","Heal Amount +10%","Recast Turns -1","Recast Turns -1","","","DEF up","","","0","0","0","0","0","0","0"
"1","17","Magic Mist","Sports Uniform Seira","dark","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","18","Dark Slow","Sports Uniform Seira","dark","Attack all enemies, with a 50% chance to inflict 30% move gauge down.","Single","TRUE","3","4","8","Debuff Activation +5%","Debuff Activation +10%","DMG +5%","Debuff Activation +10%","DMG +10%","DMG +10%","Recast Turns -1","","move gauge down","","1","2.8","0","0","0","0","0"
"1","19","Magic Mist","Sports Uniform Cocoa","light","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","20","Holy Attack","Sports Uniform Cocoa","light","Attack and remove one buff effect from an enemy.","Single","TRUE","2","3","6","DMG +5%","DMG +5%","DMG +10%","DMG +10%","Recast Turns -1","","","","remove buff","","1","4.5","0","0","0","0","0"
"1","21","Magic Mist","Sports Uniform Akisa","dark","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","22","Shadow Impact","Sports Uniform Akisa","dark","Attack an enemy, with an 80% chance to inflict stun for 1 turn.","Single","TRUE","2","3","8","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Recast Turns -1","","stun","","1","4.4","0","0","0","0","0"
"1","23","Magic Mist","Sports Uniform Ao","water","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","24","Double Kill","Sports Uniform Ao","water","Attack an enemy twice and inflict 25% move gauge down","Single","TRUE","2","3","6","DMG +10%","DMG +10%","DMG +10%","DMG +15%","Recast Turns -1","","","","move gauge down","","2","2.5","0","0","0","0","0"
"1","25","Magic Mist","Sports Uniform Aka","fire","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","26","Flare","Sports Uniform Aka","fire","Attack an enemy, with a 15% chance to inflict burn for 1 turn.","Single","TRUE","2","3","7","DMG +5%","Debuff Activation +5%","DMG +5%","Debuff Activation +5%","DMG +10%","Recast Turns -1","","","burn","","1","3.9","0","0","0","0","0"
"1","27","Magic Mist","Sports Uniform Eliza","lightning","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
"1","28","Lightning Jamming","Sports Uniform Eliza","lightning","Attack all enemies, with a 25% chance to inflict no recovery for 1 turn","All","TRUE","3","4","7","Debuff Activation +5%","DMG +10%","Debuff Activation +10%","Debuff Activation +10%","DMG +10%","Recast Turns -1","","","no recovery","","1","4.3","0","0","0","0","0"
"1","29","Magic Mist","Sports Uniform Lilly","fire","Attack an enemy, with a 40% change to inflict miss rate boost for 2 turns.","Single","TRUE","0","0","7","DMG +5%","Debuff Activation +5%","DMG +10%","DMG +10%","Debuff Activation +10%","Debuff Activation +15%","","","miss rate boost","","1","3.8","0","0","0","0","0"
